n_samples	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	token_mismatch_rate	missing_meaning_count	silhouette	silhouette_ci_low	silhouette_ci_high	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	model	lexeme	distance	embedding_source	head_indices	condition	global_label_scope
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3722084203319235	-0.3534454238326798	-0.3258878172501698	7.7601568836065455	8.472954949499021	0.0	0.9233234172167001	0.9980889940085766	0.2752367079388201	transfo-xl-wt103	__ALL__	cosine	head	8,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3046222512632886	-0.2788236309865503	-0.2635884521982723	7.7601568836065455	8.472954949499021	0.0	0.8060787052333398	0.5104937215763199	0.2202476329206118	transfo-xl-wt103	__ALL__	euclidean	head	8,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3682685266478212	-0.35009489317000186	-0.32467377835514083	7.841423688477784	8.109895248562928	1.6774820139319215e-16	0.9254758477651849	0.9984131272566729	0.27589220684632193	transfo-xl-wt103	__ALL__	cosine	head	8,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3042043268366568	-0.27506782224229287	-0.262914524490972	7.841423688477784	8.109895248562928	0.0	0.8110488832261378	0.5078667972943857	0.21704297159504735	transfo-xl-wt103	__ALL__	euclidean	head	8,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3698124400305608	-0.3505835653013672	-0.3251937881857427	7.885018064719939	7.6898925305020995	0.0	0.9262510892806289	0.9970628263229037	0.2753095411507647	transfo-xl-wt103	__ALL__	cosine	head	9,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30447327795895	-0.2773562696522215	-0.26257417736929006	7.885018064719939	7.6898925305020995	0.0	0.8224994596148933	0.5116590949580347	0.21318281136198106	transfo-xl-wt103	__ALL__	euclidean	head	9,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3607932307405178	-0.34078606188283506	-0.3175577456670393	7.765302729588914	7.726333698647822	0.0	0.9280535710742428	0.9982816646716138	0.2734158776402039	transfo-xl-wt103	__ALL__	cosine	head	9,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3030483245435407	-0.2760511720699343	-0.2620589670628953	7.765302729588914	7.726333698647822	6.21838149909293e-09	0.8134219971306283	0.5109061712058218	0.21398397669337219	transfo-xl-wt103	__ALL__	euclidean	head	9,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.37229243413695523	-0.35432673098242473	-0.3281522818404575	8.015290055886373	8.067058488748721	0.0	0.9273490598899748	0.9969313548064785	0.27734887108521483	transfo-xl-wt103	__ALL__	cosine	head	10,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30440324753064835	-0.2770569122014541	-0.2640266148100513	8.015290055886373	8.067058488748721	0.0	0.8133468357948755	0.5251375324487091	0.21849963583394028	transfo-xl-wt103	__ALL__	euclidean	head	10,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.36042263625570337	-0.34206020538666626	-0.31470273074925176	8.0412272836267	7.611691908443886	1.6841605779356623e-16	0.9269502821370118	0.9967049546941319	0.282884195193008	transfo-xl-wt103	__ALL__	cosine	head	0,1,2	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3005899400033652	-0.27492109703597883	-0.26021176008155844	8.0412272836267	7.611691908443886	8.526127453264875e-09	0.8219189786106583	0.4167058449182076	0.22046613255644573	transfo-xl-wt103	__ALL__	euclidean	head	0,1,2	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3608283933331098	-0.34090173820231107	-0.31465951627080807	7.76621535878167	7.76168062565766	5.61526417895668e-17	0.9273797668854958	0.9958446846367752	0.274435542607429	transfo-xl-wt103	__ALL__	cosine	head	0,1,3	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30599837074053876	-0.27815253625853054	-0.26320049485859914	7.76621535878167	7.76168062565766	4.019862982371552e-09	0.8180820285933924	0.4038233132483222	0.21376547705753823	transfo-xl-wt103	__ALL__	euclidean	head	0,1,3	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3649897513353163	-0.34658909289003775	-0.3228215948851084	7.623204679270089	7.74222090737963	1.124288830877944e-16	0.9258473502787053	0.9974462379377432	0.2772032046613256	transfo-xl-wt103	__ALL__	cosine	head	0,1,4	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30538082022969254	-0.277382490289319	-0.2629084297623594	7.623204679270089	7.74222090737963	0.0	0.8164061618838567	0.40679459585258615	0.2131099781500364	transfo-xl-wt103	__ALL__	euclidean	head	0,1,4	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3670250075520777	-0.3496610642769855	-0.32523427778158	7.741207152748676	7.705379722884262	1.1247492921291934e-16	0.9264177661428166	0.9964511192879256	0.279388201019665	transfo-xl-wt103	__ALL__	cosine	head	0,1,5	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3036110569969828	-0.27738703367956524	-0.2625680451232373	7.741207152748676	7.705379722884262	1.0710488488613903e-08	0.8179103811352216	0.4110382737916865	0.2179169701383831	transfo-xl-wt103	__ALL__	euclidean	head	0,1,5	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.35803391894023356	-0.33965313771925215	-0.3144233680373458	7.736398235785912	7.643698209311363	0.0	0.925736126782048	0.9963050328212522	0.2846321922796795	transfo-xl-wt103	__ALL__	cosine	head	0,1,6	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3015263286325423	-0.2749807816758816	-0.26236702026227854	7.736398235785912	7.643698209311363	0.0	0.8227020661604955	0.40261725631294193	0.21835396941005097	transfo-xl-wt103	__ALL__	euclidean	head	0,1,6	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.35918941400735566	-0.3436474971268938	-0.3141730286962517	7.810117772610111	7.382064344263712	0.0	0.9276482491903972	0.9957242318594608	0.28339402767662053	transfo-xl-wt103	__ALL__	cosine	head	0,1,7	global_pooled	lexeme_prefixed
