"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"wet","wetted",6,"wet",24,"pst",10.8,"0.0010","0.0237","prob","To urinate in or on. ""wet his pants"""
"speed","speeded",3,"sped",71,"pst",62.4864864864865,"0.0000","0.2449","cat","To make haste. ""sped to her bedside"""
"speed","speeded",29,"sped",14,"pst",5.23255813953488,"0.0222","0.0000","prob","To move, work, or take place faster. To accelerate. ""the heart speeds up"""
"speed","speeded",61,"sped",14,"pst",29.4533333333333,"0.0000","0.0001","prob","To increase the speed of. To accelerate. "
"sneak","sneaked",62,"snuck",59,"ppt",0.0743801652892562,"0.7851","0.0000","no_cond","To go stealthily or furtively. To slink. ""snuck out early"""
"sneak","sneaked",29,"snuck",30,"ppt",0.0169491525423729,"0.8964","0.0000","no_cond","To put, bring, or take in a furtive or artful manner. ""sneak a smoke"""
"sneak","sneaked",9,"snuck",11,"ppt",0.2,"0.6547","0.0012","no_cond","Phrases: sneak up on"
"prove","proved",36,"proven",19,"ppt",5.25454545454545,"0.0219","0.0000","prob","To turn out, especially after trial or test. ""The new drug proved effective."""
"prove","proved",40,"proven",60,"ppt",4,"0.0455","0.0000","prob","To establish the existence, truth, or validity of (as by evidence or logic). ""prove a theorem"" ""The charges were never proved in court."""
"prove","proved",19,"proven",20,"ppt",0.0256410256410256,"0.8728","0.0000","no_cond","To demonstrate as having a particular quality or worth. ""proved herself a great actress"" ""The vaccine has been proven effective after years of tests."" "
"strive","strived",95,"striven",86,"ppt",0.447513812154696,"0.5035","0.0000","no_cond","To devote serious effort or energy to. To endevor. ""strive to finish a project"""
"strive","strived",5,"striven",14,"ppt",4.26315789473684,"0.0389","0.0463","prob","To struggle in opposition. To contend. "
"strive","strived",97,"strove",82,"pst",1.25698324022346,"0.2622","0.0000","no_cond","To devote serious effort or energy to. To endevor. ""strive to finish a project"""
"strive","strived",3,"strove",18,"pst",10.7142857142857,"0.0011","0.2317","cat","To struggle in opposition. To contend. "
"speed","speeded",2,"sped",20,"ppt",14.7272727272727,"0.0001","0.4884","cat","To make haste. ""sped to her bedside"""
"speed","speeded",16,"sped",12,"ppt",0.571428571428571,"0.4497","0.0001","no_cond","To move, work, or take place faster. To accelerate. ""the heart speeds up"""
"speed","speeded",81,"sped",64,"ppt",1.99310344827586,"0.1580","0.0000","no_cond","To increase the speed of. To accelerate. "
"sneak","snuck",65,"sneaked",75,"pst",0.714285714285714,"0.3980","0.0000","no_cond","To go stealthily or furtively. To slink. ""snuck out early"""
"sneak","snuck",29,"sneaked",19,"pst",2.08333333333333,"0.1489","0.0000","no_cond","To put, bring, or take in a furtive or artful manner. ""sneak a smoke"""
"plead","pled",91,"pleaded",73,"pst",1.97560975609756,"0.1599","0.0000","no_cond","To make a plea of a specific nature. ""Plead not guilty"""
"plead","pled",5,"pleaded",24,"pst",12.448275862069,"0.0004","0.0518","cat","To entreat or appeal earnestly. "
"hang","hanged",4,"hung",27,"pst",17.0645161290323,"0.0000","0.1128","cat","(Informal) To pass time idly or in relaxing or socializing. To hang around. To hang out. ""hanging with friends"" ""hanging at the beach"" "
