aggregation	silhouette	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	total_samples	distance	model	head_indices	embedding_source
macro	-0.3529247680378714	6.075249474355217	6.91299810739478	0.04876854371140056	0.8647801735875889	1.02823210641115	0.3489871783021797		cosine	answerdotai_ModernBERT-base	1,2	head
micro	-0.3571970425437993	6.66643309414398	7.773277244346998	0.04675587564142038	0.8719151394646971	1.0271280483603575	0.33676533676533676	14183.0	cosine	answerdotai_ModernBERT-base	1,2	head
macro	-0.200972097276445	6.075249474355217	6.91299810739478	0.1474824547738968	0.9055436858057854	2.196596365691128	0.27453619498825527		euclidean	answerdotai_ModernBERT-base	1,2	head
micro	-0.2028780768683288	6.66643309414398	7.773277244346998	0.1415132594864678	0.9086665662148203	2.1621396887929216	0.2576147576147576	14183.0	euclidean	answerdotai_ModernBERT-base	1,2	head
macro	-0.35457269255161916	6.008004753441943	6.913308310145853	0.055159895706062126	0.8607479858097865	1.0315576462125287	0.3673242436351663		cosine	answerdotai_ModernBERT-base	0,11	head
micro	-0.3559331399050556	6.56390885866301	7.643923047966144	0.05399003063091266	0.8690940082522631	1.0310373843574452	0.3537823537823538	14183.0	cosine	answerdotai_ModernBERT-base	0,11	head
macro	-0.19930871223233163	6.008004753441943	6.913308310145853	0.1814026658778522	0.9060205801109582	2.062938819673821	0.2865453971621533		euclidean	answerdotai_ModernBERT-base	0,11	head
micro	-0.198434740072812	6.56390885866301	7.643923047966144	0.17627302522121358	0.9100379335770381	2.020272343470141	0.27634777634777635	14183.0	euclidean	answerdotai_ModernBERT-base	0,11	head
macro	-0.35232847016869706	6.079435389644557	7.098894837540917	0.04962971791768599	0.8629701826654956	1.0324700007056942	0.3572158320443886		cosine	answerdotai_ModernBERT-base	1,3	head
micro	-0.35732170995732304	6.678224338678819	7.81014081808615	0.04738533614629125	0.8710058108343574	1.0306635825532646	0.34384384384384387	14183.0	cosine	answerdotai_ModernBERT-base	1,3	head
macro	-0.19952443807913503	6.079435389644557	7.098894837540917	0.14543256997897472	0.9023848946815285	2.2036858989455306	0.2834513620766985		euclidean	answerdotai_ModernBERT-base	1,3	head
micro	-0.20090109487501048	6.678224338678819	7.81014081808615	0.1401582489261376	0.9061850866470164	2.164773332128036	0.26648076648076646	14183.0	euclidean	answerdotai_ModernBERT-base	1,3	head
macro	-0.36330551809703115	6.165070320788946	7.060613399250174	0.04792888209470809	0.8620367950946238	1.0319215659260537	0.35449410673108334		cosine	answerdotai_ModernBERT-base	1,4	head
micro	-0.36849215817138675	6.786804999137291	7.940711835093964	0.04529483823622391	0.8681879329415974	1.0314844076812089	0.34134134134134136	14183.0	cosine	answerdotai_ModernBERT-base	1,4	head
macro	-0.20892213061820925	6.165070320788946	7.060613399250174	0.14508603674404452	0.9046483047203343	2.251538847332579	0.2739023303946924		euclidean	answerdotai_ModernBERT-base	1,4	head
micro	-0.21036798653834027	6.786804999137291	7.940711835093964	0.13916641400715696	0.9068546187433159	2.233044053352928	0.2571857571857572	14183.0	euclidean	answerdotai_ModernBERT-base	1,4	head
macro	-0.3637448556815638	6.2102300267202315	7.060890498285955	0.04862935998186975	0.8603258171416142	1.0344244261836946	0.3575075659943785		cosine	answerdotai_ModernBERT-base	1,5	head
