system_id	lemma	msps	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
learn__pst	learn	pst	198	2	0.6057893699102886	2-10	0.605789,0.348984,0.094796,0.086041,0.073747,0.060103,0.043714,0.047885,0.033623	9414.442713,8967.873847,8645.531755,8366.933976,8189.142415,8075.581013,7948.830833,7800.561913,7686.260860	
light__ppt	light	ppt	200	2	0.5806548993461564	2-10	0.580655,0.335750,0.087657,0.090847,0.082217,0.065035,0.071188,0.049196,0.040984	17732.765661,16831.202481,16067.466153,15509.149307,15234.600100,14915.846071,14659.103433,14477.202693,14324.337001	
light__pst	light	pst	200	2	0.5840942194862383	2-10	0.584094,0.339751,0.085566,0.080332,0.070186,0.073554,0.071373,0.067006,0.067058	18138.672226,17170.324315,16381.912500,15886.028742,15465.025661,15006.797251,14739.912546,14443.758106,14262.076143	
plead__ppt	plead	ppt	199	2	0.5291859181786762	2-10	0.529186,0.325138,0.132933,0.074647,0.079095,0.074537,0.056847,0.050774,0.054877	21084.436134,19836.618586,18873.591376,18368.986180,17916.640780,17435.829905,17080.207013,16909.347684,16548.165244	
plead__pst	plead	pst	199	2	0.5273638240107305	2-10	0.527364,0.338481,0.115644,0.071339,0.087472,0.052137,0.052236,0.050305,0.041674	20581.130041,19089.955887,18126.217431,17663.411006,17254.799487,16894.267261,16529.836328,16257.680579,16083.979015	
prove__ppt	prove	ppt	199	2	0.5236222218324339	2-10	0.523622,0.294831,0.064624,0.071670,0.067671,0.064644,0.057995,0.055219,0.053705	26157.856855,25059.265760,24236.023944,23402.128781,22760.094913,22386.706724,22199.927988,21590.330258,21436.037445	
ring__ppt	ring	ppt	200	2	0.6320023141036841	2-10	0.632002,0.357046,0.069241,0.061379,0.054233,0.049663,0.043253,0.040208,0.034804	13497.087325,12849.120575,12388.446092,12158.530145,11908.496178,11638.095804,11490.531140,11388.678697,11254.181834	
see__ppt	see	ppt	199	2	0.46618675055137043	2-10	0.466187,0.351903,0.149287,0.089191,0.146524,0.068264,0.052396,0.054269,0.055617	17998.850253,16013.258094,15187.532912,14786.518745,14426.735824,14085.270116,13941.990146,13565.947185,13246.126713	
see__pst	see	pst	198	2	0.5681102754461848	2-10	0.568110,0.322414,0.099915,0.103078,0.078860,0.068959,0.050115,0.053517,0.046998	13282.024761,12535.047588,11841.122968,11478.692921,11170.947560,10911.316022,10725.758355,10573.661055,10373.027018	
sew__ppt	sew	ppt	199	2	0.5129979475464432	2-10	0.512998,0.302354,0.061390,0.060875,0.048217,0.050145,0.048519,0.037932,0.038801	9705.324808,9377.363879,9045.034745,8870.274876,8707.658918,8549.065490,8413.162354,8347.421854,8162.089692	
shake__ppt	shake	ppt	199	2	0.4688113177225364	2-10	0.468811,0.251207,0.064913,0.072615,0.071255,0.068427,0.051545,0.058773,0.061668	11083.430865,10549.062400,10104.723191,9722.831076,9438.617523,9268.937374,9048.948243,8977.655859,8787.113591	
shine__ppt	shine	ppt	200	2	0.4530228751965548	2-10	0.453023,0.287148,0.101040,0.074331,0.073799,0.051519,0.063153,0.043959,0.044574	14863.251821,14008.129781,13403.487729,13030.559323,12712.630113,12488.456429,12297.899265,12034.343425,11847.670484	
shine__pst	shine	pst	200	2	0.4855498417147684	2-10	0.485550,0.280616,0.077454,0.070226,0.064876,0.049819,0.054514,0.050790,0.043135	13960.465206,13290.619005,12679.529967,12370.633949,12104.572148,11941.957662,11708.187458,11574.304774,11453.032509	
show__ppt	show	ppt	200	2	0.5425588420878238	2-10	0.542559,0.304663,0.068976,0.060370,0.050429,0.047809,0.040908,0.030698,0.032449	16135.242524,15598.704951,15076.950645,14769.655363,14383.368795,14253.325372,13919.663578,13738.435084,13557.728268	
