system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
knit__ppt	knit	ppt	all	200	2	0.333647773284071	2-10	0.333648,0.265613,0.237576,0.235778,0.228636,0.209935,0.223374,0.189011,0.140434	102888.166008,88067.815709,78730.399797,72203.149164,67295.158276,64049.503328,60443.378676,58815.949782,56606.376419	
know__pst	know	pst	all	197	2	0.6023246381187382	2-10	0.602325,0.409448,0.178755,0.179952,0.108853,0.112152,0.094915,0.097064,0.101439	687031.322560,593933.409941,537403.400306,500602.713948,496047.753227,462791.958382,447939.969622,436737.639032,421038.138287	
lay__ppt	lay	ppt	all	200	2	0.5113617982258849	2-10	0.511362,0.408349,0.237111,0.172971,0.172813,0.154899,0.122235,0.111511,0.125943	1359000.636532,1104730.276764,1009899.946511,934378.312337,884007.479122,852699.903470,828272.879084,803800.037293,775334.067930	
lay__pst	lay	pst	all	196	2	0.51428483571591	2-10	0.514285,0.353318,0.180864,0.186807,0.166332,0.185165,0.170065,0.135864,0.152274	1216805.480330,1054630.534710,969207.437834,907545.092460,848657.079754,797146.955664,767855.086074,749046.766164,718342.142763	
leap__pst	leap	pst	all	199	2	0.2413507964001468	2-10	0.241351,0.216685,0.217313,0.151249,0.132876,0.131010,0.114390,0.112949,0.111466	16858.252863,14823.435888,13689.669248,12983.366995,12357.433352,12074.671871,11578.290651,11407.330869,11163.619057	
learn__ppt	learn	ppt	all	198	2	0.6637021936392283	2-10	0.663702,0.389361,0.109434,0.104932,0.104775,0.095111,0.090517,0.102740,0.094584	221332.430303,204292.704534,192373.085081,183600.108961,175487.669269,170838.075494,166857.668949,161503.875115,158551.778191	
learn__pst	learn	pst	all	198	2	0.607920258396963	2-10	0.607920,0.410694,0.225081,0.177246,0.128792,0.112699,0.107924,0.101856,0.098268	486377.029786,414977.111874,353772.386852,334259.216935,318727.835301,304358.597597,295741.102482,290610.947508,280543.535199	
light__ppt	light	ppt	all	200	2	0.2899932228762961	2-10	0.289993,0.250169,0.237904,0.188392,0.147552,0.114161,0.121744,0.117752,0.116291	946635.639605,826078.012162,722101.303672,687227.285214,652033.001009,626682.178333,599157.031513,572743.539691,557675.848379	
light__pst	light	pst	all	200	2	0.2686317545541214	2-10	0.268632,0.202821,0.156816,0.147808,0.118885,0.114551,0.114537,0.098188,0.092149	878234.125532,800589.310966,730692.844602,687703.818781,658897.869044,636536.044632,608092.092243,595725.072945,586274.789697	
plead__ppt	plead	ppt	all	199	2	0.5543190050969816	2-10	0.554319,0.441212,0.314702,0.250778,0.242511,0.173541,0.251155,0.183025,0.131010	721249.932000,582805.016574,477521.087983,437757.876213,416078.240461,396404.567382,377713.404161,359860.637482,353425.706304	
plead__pst	plead	pst	all	199	2	0.5893033385867948	2-10	0.589303,0.458264,0.282057,0.251534,0.213433,0.199664,0.159115,0.155546,0.149392	641336.950088,510463.512428,435128.277353,399894.689388,367358.565964,343692.483920,334278.721136,323722.890647,311478.999308	
