model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__ppt	dream	ppt	199	181	18	0	5	3	2	dreamed,dreamt	dreamed	dreamt	0.0015	fisher_exact	True	5	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	181	3.0	1.3099792748760353	111.0	22.0	0.0	0.0	0.029857198497867634	0.017727700861153307	0.4302050298446963	0.46521591678705115	0.9247427147717716	1.1904552313712113	1.2383628395437343	0.9613137550298472	0.6629834254143646	0.6077348066298343	0.05061402711831576	0.031999885597563865	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__ppt	dream	ppt	199	181	18	0	5	3	2	dreamed,dreamt	dreamed	dreamt	0.0015	fisher_exact	True	5	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	raw	raw_label	197	5.0	2.0094602437853	69.0	7.0	0.0	0.0	0.0030507450142517644	0.003931250522996073	0.4143547010715118	0.45186280685837016	0.9169922701812129	1.180193202027118	1.2376967570595354	0.9535398677386602	0.49238578680203043	0.47715736040609136	0.10102890169277723	0.11201880124326474	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	conditioned-exclude	conditioned_exclude_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	raw	raw_label	200	7.0	1.8199338849640223	104.0	1.0	0.2857142857142857	0.2857142857142857	-0.35325646450464115	-0.21191708360363	0.4746325938228824	0.46412736939328314	1.0226343566925	1.3721523324354592	1.359567935884189	1.0092561733909133	0.235	0.275	-0.0009544731459737899	0.01381154808853516	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	conditioned-exclude	conditioned_exclude_label	132	2.0	0.7455178428108284	104.0	28.0	0.0	0.0	-0.0201359953732969	-0.008967269796332219	0.4871240344236992	0.4733335625036803	1.0291347857250492	1.3885905793273954	1.3710292657567154	1.012808853909466	0.6136363636363636	0.6363636363636364	-0.010953979051459822	-0.005747556449058426	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	raw	raw_label	142	15.0	3.2081115221477225	31.0	1.0	0.3333333333333333	0.4	-0.20810090555708016	-0.11522922335604295	0.41258767846899763	0.5433724093420904	0.7593092166173002	1.2782466621759538	1.4679525855491238	0.8707683577516874	0.36619718309859156	0.38028169014084506	0.16844813984361096	0.27789984735585344	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	conditioned-exclude	conditioned_exclude_label	93	6.0	2.257035960830074	27.0	3.0	0.0	0.0	0.036927783598798	0.017827239533533913	0.39816966460977377	0.5771888266472985	0.6898429876451548	1.2564092545725563	1.5089478904083728	0.8326392598173347	0.5483870967741935	0.5591397849462365	0.3753510474884037	0.4238209806912779	0.0
